name,dataset,year,usage,image
1023803,v2.0.0,2017,train,2017/tile1023803_2017-06_2017-11_buf184_cog_81_cog.tif
1013957,v2.0.0,2017,train,2017/tile1013957_2017-06_2017-11_buf184_cog_96_cog.tif
1014124,v2.0.0,2017,train,2017/tile1014124_2017-06_2017-11_buf184_cog_63_cog.tif
1002017,v2.0.0,2017,train,2017/tile1002017_2017-06_2017-11_buf184_cog_94_cog.tif
1023803,v2.0.0,2017,train,2017/tile1023803_2017-06_2017-11_buf184_cog_80_cog.tif
1023803,v2.0.0,2017,train,2017/tile1023803_2017-06_2017-11_buf184_cog_83_cog.tif
1002017,v2.0.0,2017,train,2017/tile1002017_2017-06_2017-11_buf184_cog_93_cog.tif
1023803,v2.0.0,2017,train,2017/tile1023803_2017-06_2017-11_buf184_cog_7_cog.tif
1023803,v2.0.0,2017,train,2017/tile1023803_2017-06_2017-11_buf184_cog_82_cog.tif
1002017,v2.0.0,2017,train,2017/tile1002017_2017-06_2017-11_buf184_cog_92_cog.tif
1014124,v2.0.0,2017,train,2017/tile1014124_2017-06_2017-11_buf184_cog_61_cog.tif
1002017,v2.0.0,2017,train,2017/tile1002017_2017-06_2017-11_buf184_cog_96_cog.tif
1002017,v2.0.0,2017,train,2017/tile1002017_2017-06_2017-11_buf184_cog_95_cog.tif
1014124,v2.0.0,2017,train,2017/tile1014124_2017-06_2017-11_buf184_cog_64_cog.tif
1013957,v2.0.0,2017,train,2017/tile1013957_2017-06_2017-11_buf184_cog_94_cog.tif
1023803,v2.0.0,2017,train,2017/tile1023803_2017-06_2017-11_buf184_cog_79_cog.tif
1002017,v2.0.0,2017,train,2017/tile1002017_2017-06_2017-11_buf184_cog_91_cog.tif
1014124,v2.0.0,2017,train,2017/tile1014124_2017-06_2017-11_buf184_cog_60_cog.tif
1014124,v2.0.0,2017,train,2017/tile1014124_2017-06_2017-11_buf184_cog_65_cog.tif
1002017,v2.0.0,2017,train,2017/tile1002017_2017-06_2017-11_buf184_cog_90_cog.tif
1013957,v2.0.0,2017,train,2017/tile1013957_2017-06_2017-11_buf184_cog_93_cog.tif
1013957,v2.0.0,2017,train,2017/tile1013957_2017-06_2017-11_buf184_cog_98_cog.tif
1014124,v2.0.0,2017,train,2017/tile1014124_2017-06_2017-11_buf184_cog_5_cog.tif
1014124,v2.0.0,2017,train,2017/tile1014124_2017-06_2017-11_buf184_cog_59_cog.tif
1002017,v2.0.0,2017,train,2017/tile1002017_2017-06_2017-11_buf184_cog_8_cog.tif
1013957,v2.0.0,2017,train,2017/tile1013957_2017-06_2017-11_buf184_cog_91_cog.tif
1023803,v2.0.0,2017,train,2017/tile1023803_2017-06_2017-11_buf184_cog_76_cog.tif
1014124,v2.0.0,2017,train,2017/tile1014124_2017-06_2017-11_buf184_cog_58_cog.tif
1002017,v2.0.0,2017,train,2017/tile1002017_2017-06_2017-11_buf184_cog_89_cog.tif
1014124,v2.0.0,2017,train,2017/tile1014124_2017-06_2017-11_buf184_cog_57_cog.tif
1002017,v2.0.0,2017,train,2017/tile1002017_2017-06_2017-11_buf184_cog_88_cog.tif
1013957,v2.0.0,2017,train,2017/tile1013957_2017-06_2017-11_buf184_cog_8_cog.tif
1013957,v2.0.0,2017,validate,2017/tile1013957_2017-06_2017-11_buf184_cog_95_cog.tif
1014124,v2.0.0,2017,validate,2017/tile1014124_2017-06_2017-11_buf184_cog_62_cog.tif
1013957,v2.0.0,2017,validate,2017/tile1013957_2017-06_2017-11_buf184_cog_97_cog.tif
1023803,v2.0.0,2017,validate,2017/tile1023803_2017-06_2017-11_buf184_cog_78_cog.tif
1013957,v2.0.0,2017,validate,2017/tile1013957_2017-06_2017-11_buf184_cog_92_cog.tif
1023803,v2.0.0,2017,validate,2017/tile1023803_2017-06_2017-11_buf184_cog_77_cog.tif
1013957,v2.0.0,2017,validate,2017/tile1013957_2017-06_2017-11_buf184_cog_90_cog.tif
1023803,v2.0.0,2017,validate,2017/tile1023803_2017-06_2017-11_buf184_cog_75_cog.tif
1014124,v2.0.0,2017,validate,2017/tile1014124_2017-06_2017-11_buf184_cog_54_cog.tif
1002017,v2.0.0,2017,validate,2017/tile1002017_2017-06_2017-11_buf184_cog_85_cog.tif
1013957,v2.0.0,2017,validate,2017/tile1013957_2017-06_2017-11_buf184_cog_87_cog.tif
1014124,v2.0.0,2017,validate,2017/tile1014124_2017-06_2017-11_buf184_cog_52_cog.tif
1013957,v2.0.0,2017,validate,2017/tile1013957_2017-06_2017-11_buf184_cog_85_cog.tif
1023803,v2.0.0,2017,validate,2017/tile1023803_2017-06_2017-11_buf184_cog_6_cog.tif
1014124,v2.0.0,2017,validate,2017/tile1014124_2017-06_2017-11_buf184_cog_49_cog.tif
1013957,v2.0.0,2017,validate,2017/tile1013957_2017-06_2017-11_buf184_cog_7_cog.tif
